event_id,equipment_id,start_at,end_at,event_type,severity,period
EVT-2026S1-0001,EQ-M2X-001,2026-05-02T19:00:00Z,2026-05-02T19:42:00Z,incident,low,2026-S1
EVT-2026S1-B002,EQ-M2X-002,2026-05-03T06:00:00Z,2026-05-03T06:59:00Z,intervention,medium,2026-S1
EVT-2026S1-B002,EQ-M2X-003,2026-05-03T17:00:00Z,2026-05-03T18:16:00Z,observation,high,2026-S1
EVT-2026S1-B004,EQ-UNKNOWN-999,2026-05-04T04:00:00Z,2026-05-04T05:33:00Z,alert,critical,2026-S1
EVT-2026S1-B005,EQ-M2X-005,2026-05-04T15:00:00Z,2026-05-01T07:00:00Z,incident,low,2026-S1
EVT-2026S1-B006,EQ-M2X-006,2026-05-05T02:00:00Z,2026-05-05T04:07:00Z,inspection,medium,2026-S1
EVT-2026S1-B007,EQ-M2X-007,2026-05-05T13:00:00Z,2026-05-05T15:24:00Z,observation,CRITICAL,2026-S1
EVT-2026S1-B008,EQ-M2X-008,,2026-05-06T02:41:00Z,alert,critical,2026-S1
EVT-2026S1-B009,EQ-M2X-009,2026-05-06T11:00:00Z,,incident,low,2026-S1
EVT-2026S1-B010,EQ-M2X-010,2026-05-06T22:00:00Z,2026-05-07T01:15:00Z,intervention,medium,2026-S1
EVT-2026S1-B011,EQ-M2X-011,2026-05-07T09:00:00Z,2026-05-07T12:32:00Z,observation,high,2026-S1
EVT-2026S1-B012,EQ-M2X-012,2026-05-07T20:00:00Z,2026-05-07T23:49:00Z,alert,critical,2026-S1
EVT-2026S1-B013,EQ-M2X-013,2026-05-08T07:00:00Z,2026-05-08T11:06:00Z,incident,low,2026-S1
EVT-2026S1-B014,EQ-M2X-014,2026-05-08T18:00:00Z,2026-05-08T22:23:00Z,intervention,medium,2026-S1
EVT-2026S1-B015,EQ-M2X-015,2026-05-09T05:00:00Z,2026-05-09T09:40:00Z,observation,high,2026-S1
EVT-2026S1-B016,EQ-M2X-016,2026-05-09T16:00:00Z,2026-05-09T20:57:00Z,alert,critical,2026-S1
EVT-2026S1-B017,EQ-M2X-017,2026-05-10T03:00:00Z,2026-05-10T08:14:00Z,incident,low,2026-S1
EVT-2026S1-B018,EQ-M2X-018,2026-05-10T14:00:00Z,2026-05-10T19:31:00Z,intervention,medium,2026-S1
EVT-2026S1-B019,EQ-M2X-019,2026-05-11T01:00:00Z,2026-05-11T06:48:00Z,observation,high,2026-S1
EVT-2026S1-B020,EQ-M2X-020,2026-05-11T12:00:00Z,2026-05-11T18:05:00Z,alert,critical,2026-S1
EVT-2026S1-B021,EQ-M2X-021,2026-05-11T23:00:00Z,2026-05-12T05:22:00Z,incident,low,2026-S1
EVT-2026S1-B022,EQ-M2X-022,2026-05-12T10:00:00Z,2026-05-12T16:39:00Z,intervention,medium,2026-S1
EVT-2026S1-B023,EQ-M2X-023,2026-05-12T21:00:00Z,2026-05-13T03:56:00Z,observation,high,2026-S1
EVT-2026S1-B024,EQ-M2X-024,2026-05-13T08:00:00Z,2026-05-13T15:13:00Z,alert,critical,2026-S1
EVT-2026S1-B025,EQ-M2X-001,2026-05-13T19:00:00Z,2026-05-14T02:30:00Z,incident,low,2026-S1
EVT-2026S1-B026,EQ-M2X-002,2026-05-14T06:00:00Z,2026-05-14T13:47:00Z,intervention,medium,2026-S1
EVT-2026S1-B027,EQ-M2X-003,2026-05-14T17:00:00Z,2026-05-15T01:04:00Z,observation,high,2026-S1
EVT-2026S1-B028,EQ-M2X-004,2026-05-15T04:00:00Z,2026-05-15T12:21:00Z,alert,critical,2026-S1
