annotation_id,report_id,equipment_id,event_id,expected_severity,predicted_severity,severity_correct,expected_human_review,predicted_human_review,human_review_correct,schema_valid,latency_seconds,error_types
ANN-2026S1-0250,RPT-2026S1-0250,EQ-PUMP-150,EVT-2026S1-0250,high,high,True,True,True,True,True,5.245585500029847,none
ANN-2026S1-0095,RPT-2026S1-0095,EQ-SENSOR-245,EVT-2026S1-0095,medium,medium,True,True,True,True,True,4.86625429103151,none
ANN-2026S1-0159,RPT-2026S1-0159,EQ-COMP-349,EVT-2026S1-0159,high,high,True,True,True,True,True,4.420994500163943,none
ANN-2026S1-0165,RPT-2026S1-0165,EQ-ROBOT-115,EVT-2026S1-0165,high,high,True,True,True,True,True,5.064288666006178,none
ANN-2026S1-0247,RPT-2026S1-0247,EQ-PRESS-117,EVT-2026S1-0247,critical,high,False,True,True,True,True,4.067869917023927,severity
ANN-2026S1-0229,RPT-2026S1-0229,EQ-MIX-219,EVT-2026S1-0229,medium,medium,True,True,True,True,True,4.586994125042111,none
ANN-2026S1-0191,RPT-2026S1-0191,,EVT-2026S1-0191,medium,medium,True,True,True,True,True,4.102030290989205,none
ANN-2026S1-0123,RPT-2026S1-0123,EQ-COMP-253,,high,high,True,True,True,True,True,4.539811583003029,none
ANN-2026S1-0258,RPT-2026S1-0258,EQ-ROBOT-238,EVT-2026S1-0258,medium,medium,True,True,True,True,True,4.710556290810928,none
ANN-2026S1-0293,RPT-2026S1-0293,EQ-OVEN-323,EVT-2026S1-0293,low,low,True,False,False,True,True,4.310093000065535,none
ANN-2026S1-0193,RPT-2026S1-0193,EQ-OVEN-123,EVT-2026S1-0193,low,low,True,False,False,True,True,4.20000454201363,none
ANN-2026S1-0306,RPT-2026S1-0306,EQ-OVEN-166,EVT-2026S1-0306,high,high,True,True,True,True,True,4.973456375068054,none
ANN-2026S1-0039,RPT-2026S1-0039,EQ-PUMP-006,EVT-2026S1-0039,critical,high,False,True,True,True,True,4.613601749995723,severity
ANN-2026S1-0339,RPT-2026S1-0339,EQ-COMP-229,EVT-2026S1-0339,high,high,True,True,True,True,True,4.507110040867701,none
ANN-2026S1-0348,RPT-2026S1-0348,EQ-CHILL-328,,high,high,True,True,True,True,True,5.241070250049233,none
ANN-2026S1-0365,RPT-2026S1-0365,EQ-ROBOT-215,EVT-2026S1-0365,high,high,True,True,True,True,True,5.135877375025302,none
ANN-2026S1-0044,RPT-2026S1-0044,EQ-FAN-284,EVT-2026S1-0044,critical,high,False,True,True,True,True,4.54479058412835,severity
ANN-2026S1-0218,RPT-2026S1-0218,EQ-ROBOT-398,EVT-2026S1-0218,medium,medium,True,True,True,True,True,4.722999082878232,none
ANN-2026S1-0100,RPT-2026S1-0100,EQ-FAN-300,EVT-2026S1-0100,low,low,True,False,False,True,True,4.432347832946107,none
ANN-2026S1-0054,RPT-2026S1-0054,EQ-PRESS-394,EVT-2026S1-0054,critical,critical,True,True,True,True,True,4.701447125058621,none
ANN-2026S1-0272,RPT-2026S1-0272,,EVT-2026S1-0272,low,low,True,True,True,True,True,4.713937875116244,none
ANN-2026S1-0170,RPT-2026S1-0170,EQ-PUMP-170,EVT-2026S1-0170,high,high,True,True,True,True,True,4.744711417006329,none
ANN-2026S1-0252,RPT-2026S1-0252,,,low,low,True,True,True,True,True,4.587970499880612,none
ANN-2026S1-0078,RPT-2026S1-0078,EQ-ROBOT-358,EVT-2026S1-0078,medium,medium,True,True,True,True,True,4.76752358302474,none
ANN-2026S1-0010,RPT-2026S1-0010,EQ-PUMP-003,EVT-2026S1-0010,medium,medium,True,True,True,True,True,4.163372291950509,none
ANN-2026S1-0069,RPT-2026S1-0069,EQ-MIX-259,EVT-2026S1-0069,medium,medium,True,True,True,True,True,4.674642541911453,none
ANN-2026S1-0199,RPT-2026S1-0199,EQ-COMP-189,EVT-2026S1-0199,high,high,True,True,True,True,True,4.603400249965489,none
ANN-2026S1-0003,RPT-2026S1-0003,EQ-COMP-002,EVT-2026S1-0003,high,high,True,True,True,True,True,4.918381416937336,none
ANN-2026S1-0368,RPT-2026S1-0368,EQ-CHILL-248,EVT-2026S1-0368,high,high,True,True,True,True,True,5.165529875084758,none
ANN-2026S1-0373,RPT-2026S1-0373,EQ-OVEN-303,EVT-2026S1-0373,low,low,True,False,False,True,True,4.34642537496984,none
ANN-2026S1-0260,RPT-2026S1-0260,EQ-FAN-260,EVT-2026S1-0260,low,low,True,False,False,True,True,4.497506374958903,none
