equipment_id,equipment_type,site_id,commissioning_date,criticality,manufacturer,rated_power_kw
EQ-CAB-101,electrical_cabinet,SITE-SUD,2010-06-10,medium,Valcor,47.5
EQ-CAB-112,electrical_cabinet,SITE-EST,2024-09-03,low,Aster Industrie,61.2
EQ-CAB-123,electrical_cabinet,SITE-SUD,2006-12-27,low,Thermis,62.8
EQ-CAB-134,electrical_cabinet,SITE-NORD,2020-12-28,critical,Rotatek,34.0
EQ-CAB-145,electrical_cabinet,SITE-EST,2018-03-20,medium,MecaNova,56.2
EQ-CAB-206,electrical_cabinet,SITE-SUD,2015-08-05,critical,Rotatek,52.6
EQ-CAB-217,electrical_cabinet,SITE-SUD,2007-07-21,high,Valcor,40.5
EQ-CAB-228,electrical_cabinet,SITE-SUD,2022-01-15,low,Aster Industrie,38.1
EQ-CAB-239,pump,SITE-SUD,2008-06-18,medium,Thermis,44.5
EQ-CAB-250,electrical_cabinet,SITE-NORD,2011-12-08,critical,MecaNova,46.8
EQ-CHILL-001,chiller,SITE-NORD,2015-04-27,low,Rotatek,63.6
EQ-CHILL-002,chiller,SITE-NORD,2018-04-08,high,Rotatek,52.6
EQ-CHILL-104,chiller,SITE-SUD,2019-10-18,medium,Rotatek,56.5
EQ-CHILL-108,chiller,SITE-SUD,2014-09-12,critical,Aster Industrie,73.0
EQ-CHILL-115,chiller,SITE-SUD,2010-05-17,high,MecaNova,35.7
EQ-CHILL-128,chiller,SITE-NORD,2007-04-21,critical,Thermis,70.5
EQ-CHILL-148,chiller,SITE-EST,2017-01-29,medium,Aster Industrie,31.1
EQ-CHILL-168,chiller,SITE-NORD,2015-05-12,high,Aster Industrie,63.9
EQ-CHILL-188,chiller,SITE-EST,2022-07-06,high,Rotatek,58.9
EQ-CHILL-208,chiller,SITE-NORD,2020-07-01,medium,Rotatek,41.5
EQ-CHILL-228,chiller,SITE-EST,2022-07-02,high,Aster Industrie,62.3
EQ-CHILL-248,chiller,SITE-NORD,2010-06-29,critical,Rotatek,34.5
EQ-CHILL-268,chiller,SITE-SUD,2013-03-16,medium,MecaNova,66.4
EQ-CHILL-288,chiller,SITE-NORD,2007-09-26,medium,Aster Industrie,84.0
EQ-CHILL-308,chiller,SITE-SUD,2018-04-24,medium,Rotatek,64.5
EQ-CHILL-328,chiller,SITE-NORD,2021-12-02,high,Thermis,46.9
EQ-CHILL-348,chiller,SITE-NORD,2009-04-14,medium,MecaNova,52.5
EQ-CHILL-368,chiller,SITE-EST,2021-08-08,medium,Valcor,48.2
EQ-CHILL-371,chiller,SITE-EST,2019-04-18,medium,Thermis,72.7
EQ-CHILL-382,chiller,SITE-SUD,2019-01-20,high,MecaNova,38.6
EQ-CHILL-388,chiller,SITE-SUD,2008-04-22,medium,MecaNova,62.7
EQ-CHILL-393,chiller,SITE-SUD,2020-08-17,medium,MecaNova,67.2
EQ-COMP-001,compressor,SITE-EST,2014-02-05,medium,Rotatek,69.0
EQ-COMP-002,compressor,SITE-NORD,2007-12-31,high,MecaNova,93.2
EQ-COMP-003,compressor,SITE-NORD,2013-01-04,medium,Thermis,93.5
EQ-COMP-107,compressor,SITE-SUD,2007-11-25,medium,MecaNova,105.3
EQ-COMP-109,compressor,SITE-EST,2014-05-01,medium,Thermis,93.3
EQ-COMP-113,compressor,SITE-SUD,2016-03-01,critical,Aster Industrie,92.3
EQ-COMP-118,compressor,SITE-NORD,2023-10-30,high,Rotatek,80.5
EQ-COMP-129,compressor,SITE-SUD,2012-10-10,low,Valcor,97.2
EQ-COMP-133,compressor,SITE-SUD,2009-01-24,medium,MecaNova,84.7
EQ-COMP-140,compressor,SITE-OUEST,2007-05-06,critical,Rotatek,95.4
EQ-COMP-149,compressor,SITE-OUEST,2017-02-23,medium,Aster Industrie,77.7
EQ-COMP-153,compressor,SITE-SUD,2024-10-21,low,Aster Industrie,121.0
EQ-COMP-169,compressor,SITE-NORD,2015-05-11,high,Aster Industrie,
EQ-COMP-173,compressor,SITE-EST,2008-01-29,high,Rotatek,100.8
EQ-COMP-189,compressor,SITE-OUEST,2021-04-07,critical,MecaNova,105.9
EQ-COMP-193,compressor,SITE-SUD,2010-02-01,low,Valcor,83.1
