event_id,equipment_id,start_at,end_at,event_type,severity,period
EVT-2026S1-0001,EQ-PUMP-001,2026-02-19T22:47:00Z,2026-02-19T23:19:00Z,incident,high,2026-S1
EVT-2026S1-0002,EQ-CONV-003,2026-05-22T13:48:00Z,2026-05-22T16:49:00Z,incident,medium,2026-S1
EVT-2026S1-0003,EQ-COMP-002,2026-04-11T06:38:00Z,2026-04-12T08:38:00Z,observation,high,2026-S1
EVT-2026S1-0004,EQ-FAN-004,2026-05-23T22:22:00Z,2026-05-24T20:16:00Z,observation,critical,2026-S1
EVT-2026S1-0005,EQ-PUMP-002,2026-01-27T07:29:00Z,2026-01-27T19:33:00Z,observation,medium,2026-S1
EVT-2026S1-0006,EQ-ROBOT-001,2026-01-30T04:25:00Z,2026-01-30T05:48:00Z,intervention,high,2026-S1
EVT-2026S1-0007,EQ-OVEN-001,2026-02-06T09:30:00Z,2026-02-07T06:57:00Z,intervention,high,2026-S1
EVT-2026S1-0008,EQ-PRESS-001,2026-06-02T05:31:00Z,2026-06-02T18:48:00Z,incident,high,2026-S1
EVT-2026S1-0009,EQ-COMP-001,2026-01-07T03:04:00Z,2026-01-08T00:40:00Z,incident,high,2026-S1
EVT-2026S1-0010,EQ-PUMP-003,2026-01-23T00:39:00Z,2026-01-23T05:49:00Z,intervention,medium,2026-S1
EVT-2026S1-0011,EQ-CONV-001,2026-01-03T03:35:00Z,2026-01-04T14:50:00Z,observation,medium,2026-S1
EVT-2026S1-0012,EQ-FAN-002,2026-01-22T13:20:00Z,2026-01-23T16:07:00Z,intervention,medium,2026-S1
EVT-2026S1-0013,EQ-CHILL-001,2026-01-02T12:53:00Z,2026-01-02T14:20:00Z,incident,high,2026-S1
EVT-2026S1-0014,EQ-PRESS-002,2026-03-28T18:03:00Z,2026-03-28T18:35:00Z,incident,critical,2026-S1
EVT-2026S1-0015,EQ-PUMP-001,2026-06-18T01:51:00Z,2026-06-19T11:22:00Z,observation,low,2026-S1
EVT-2026S1-0016,EQ-MIX-001,2026-04-05T00:26:00Z,2026-04-05T06:34:00Z,observation,low,2026-S1
EVT-2026S1-0017,EQ-ROBOT-002,2026-06-16T12:45:00Z,2026-06-17T22:23:00Z,incident,medium,2026-S1
EVT-2026S1-0018,EQ-COMP-002,2026-05-18T09:33:00Z,2026-05-19T04:03:00Z,incident,high,2026-S1
EVT-2026S1-0019,EQ-CONV-004,2026-05-17T01:56:00Z,,observation,critical,2026-S1
EVT-2026S1-0020,EQ-OVEN-002,2026-03-05T08:10:00Z,2026-03-05T10:22:00Z,incident,critical,2026-S1
EVT-2026S1-0021,EQ-PUMP-004,2026-06-12T19:45:00Z,2026-06-13T19:13:00Z,incident,high,2026-S1
EVT-2026S1-0022,EQ-FAN-003,2026-04-30T19:35:00Z,2026-05-01T19:08:00Z,incident,medium,2026-S1
EVT-2026S1-0023,EQ-CHILL-002,2026-05-24T21:09:00Z,2026-05-25T11:47:00Z,alert,medium,2026-S1
EVT-2026S1-0024,EQ-PRESS-001,2026-01-20T06:24:00Z,2026-01-20T08:50:00Z,intervention,critical,2026-S1
EVT-2026S1-0025,EQ-MIX-002,2026-01-29T02:32:00Z,2026-01-29T19:44:00Z,incident,medium,2026-S1
EVT-2026S1-0026,EQ-CONV-002,2026-05-31T20:55:00Z,2026-06-01T01:23:00Z,observation,high,2026-S1
EVT-2026S1-0027,EQ-PUMP-002,2026-04-03T14:30:00Z,2026-04-04T04:36:00Z,incident,low,2026-S1
EVT-2026S1-0028,EQ-ROBOT-001,2026-05-26T12:10:00Z,,observation,high,2026-S1
EVT-2026S1-0029,EQ-COMP-003,2026-03-13T15:55:00Z,2026-03-14T03:10:00Z,intervention,high,2026-S1
EVT-2026S1-0030,EQ-OVEN-001,2026-05-04T14:10:00Z,2026-05-05T05:47:00Z,intervention,low,2026-S1
EVT-2026S1-0031,EQ-PRESS-003,2026-04-10T14:53:00Z,2026-04-10T17:21:00Z,incident,high,2026-S1
EVT-2026S1-0032,EQ-PUMP-005,2026-04-09T19:50:00Z,,observation,high,2026-S1
EVT-2026S1-0033,EQ-CONV-005,2026-03-30T14:57:00Z,2026-03-30T18:31:00Z,intervention,medium,2026-S1
EVT-2026S1-0034,EQ-FAN-001,2026-01-14T01:49:00Z,2026-01-15T11:21:00Z,incident,high,2026-S1
EVT-2026S1-0035,EQ-MIX-001,2026-05-20T22:12:00Z,2026-05-22T01:02:00Z,observation,low,2026-S1
EVT-2026S1-0036,EQ-CHILL-001,2026-05-07T14:24:00Z,2026-05-08T08:06:00Z,incident,medium,2026-S1
EVT-2026S1-0037,EQ-ROBOT-003,2026-03-14T02:47:00Z,,observation,medium,2026-S1
EVT-2026S1-0038,EQ-COMP-001,2026-05-24T07:51:00Z,2026-05-24T22:20:00Z,observation,low,2026-S1
EVT-2026S1-0039,EQ-PUMP-006,2026-04-29T12:10:00Z,2026-04-30T11:56:00Z,incident,critical,2026-S1
EVT-2026S1-0040,EQ-CONV-003,2026-01-24T05:44:00Z,2026-01-24T06:52:00Z,observation,medium,2026-S1
EVT-2026S1-0041,EQ-PUMP-251,2026-03-10T11:23:00Z,2026-03-11T09:39:00Z,alert,high,2026-S1
EVT-2026S1-0042,EQ-CONV-262,2026-02-27T08:26:00Z,2026-02-28T08:55:00Z,intervention,medium,2026-S1
EVT-2026S1-0043,EQ-COMP-273,2026-05-07T04:35:00Z,2026-05-08T12:17:00Z,observation,high,2026-S1
EVT-2026S1-0044,EQ-FAN-284,2026-02-23T21:47:00Z,2026-02-25T01:03:00Z,intervention,critical,2026-S1
EVT-2026S1-0045,EQ-ROBOT-295,2026-06-01T07:25:00Z,2026-06-02T18:11:00Z,observation,high,2026-S1
EVT-2026S1-0046,EQ-OVEN-306,2026-03-26T23:13:00Z,2026-03-27T10:31:00Z,alert,high,2026-S1
EVT-2026S1-0047,EQ-PRESS-317,2026-01-12T01:47:00Z,2026-01-12T13:36:00Z,observation,critical,2026-S1
EVT-2026S1-0049,EQ-MIX-339,2026-01-10T12:23:00Z,2026-01-10T16:21:00Z,incident,medium,2026-S1
EVT-2026S1-0050,EQ-PUMP-350,2026-02-10T13:48:00Z,2026-02-12T00:41:00Z,incident,high,2026-S1
EVT-2026S1-0052,EQ-EXTRA-422,2026-05-04T19:01:00Z,2026-05-05T02:50:00Z,incident,low,2026-S1
EVT-2026S1-0053,EQ-OVEN-383,2026-02-02T15:37:00Z,2026-02-03T15:45:00Z,incident,low,2026-S1
EVT-2026S1-0054,EQ-PRESS-394,2026-01-11T16:59:00Z,2026-01-11T18:38:00Z,incident,critical,2026-S1
EVT-2026S1-0055,EQ-SENSOR-105,2026-06-06T10:40:00Z,2026-06-06T13:06:00Z,alert,medium,2026-S1
EVT-2026S1-0056,EQ-CONV-116,2026-03-10T16:43:00Z,2026-03-12T04:27:00Z,intervention,high,2026-S1
EVT-2026S1-0057,EQ-PUMP-127,2026-03-03T10:57:00Z,2026-03-04T03:34:00Z,incident,high,2026-S1
EVT-2026S1-0058,EQ-ROBOT-138,2026-03-23T12:19:00Z,2026-03-24T01:47:00Z,observation,medium,2026-S1
EVT-2026S1-0059,EQ-COMP-149,2026-03-09T11:04:00Z,2026-03-10T08:43:00Z,incident,high,2026-S1
