maintenance_id,event_id,equipment_id,opened_at,closed_at,intervention_type,outcome,downtime_minutes,labor_hours,parts_cost_eur,parts_replaced_count,work_order_note,period
MNT-2026S1-0001,EVT-2026S1-0032,EQ-PUMP-005,2026-04-09T22:34:00Z,2026-04-10T01:45:00Z,preventive,parts_ordered,191,4.65,210.47,1,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0002,EVT-2026S1-0327,EQ-PRESS-397,2026-04-27T13:26:00Z,2026-04-27T18:26:00Z,preventive,no_fault_found,300,7.38,529.46,2,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0003,EVT-2026S1-0429,EQ-LIFT-319,2026-01-02T11:02:00Z,2026-01-02T13:49:00Z,preventive,resolved,167,5.27,192.02,1,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0004,EVT-2026S1-0489,EQ-ROBOT-379,2026-04-12T22:45:00Z,2026-04-13T04:04:00Z,corrective,resolved,319,7.09,301.13,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0005,EVT-2026S1-0380,EQ-FAN-380,2026-02-07T10:11:00Z,2026-02-07T10:26:00Z,corrective,resolved,7,0.98,182.81,1,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0006,EVT-2026S1-0174,EQ-PRESS-214,2026-04-30T15:27:00Z,2026-04-30T20:51:00Z,inspection,parts_ordered,324,6.21,303.44,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0007,EVT-2026S1-0297,EQ-PUMP-367,2026-06-07T11:36:00Z,2026-06-07T14:59:00Z,preventive,resolved,203,5.77,246.02,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0008,EVT-2026S1-0434,EQ-STEAM-374,2026-01-24T09:26:00Z,2026-01-24T10:31:00Z,corrective,parts_ordered,65,0.53,87.02,1,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0009,EVT-2026S1-0110,EQ-PUMP-110,2026-04-11T06:28:00Z,2026-04-11T09:00:00Z,calibration,resolved,152,4.95,59.35,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0010,EVT-2026S1-0152,EQ-PUMP-291,2026-03-09T20:54:00Z,2026-03-09T21:24:00Z,calibration,follow_up_required,30,0.25,436.2,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0011,EVT-2026S1-0165,EQ-ROBOT-115,2026-05-15T08:22:00Z,2026-05-15T10:05:00Z,preventive,no_fault_found,103,3.97,185.78,1,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0012,EVT-2026S1-0100,EQ-FAN-300,2026-06-16T17:53:00Z,2026-06-16T18:45:00Z,calibration,follow_up_required,52,0.87,10.4,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0013,EVT-2026S1-0479,EQ-CHILL-393,2026-01-30T12:34:00Z,2026-01-30T14:35:00Z,preventive,no_fault_found,121,2.83,414.39,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0014,EVT-2026S1-0478,EQ-FAN-001,2026-04-23T06:52:00Z,2026-04-23T08:40:00Z,calibration,parts_ordered,108,3.13,37.6,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0015,EVT-2026S1-0037,EQ-ROBOT-003,2026-03-14T04:29:00Z,2026-03-14T06:43:00Z,replacement,monitoring,134,1.44,17.27,0,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0016,EVT-2026S1-X025,EQ-PUMP-307,2026-01-09T05:27:00Z,2026-01-09T08:58:00Z,preventive,monitoring,211,5.92,186.75,3,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0017,EVT-2026S1-0292,EQ-MIX-259,2026-01-12T01:55:00Z,2026-01-12T03:35:00Z,replacement,resolved,100,2.81,33.77,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0018,EVT-2026S1-0234,EQ-PRESS-274,2026-04-16T22:08:00Z,2026-04-17T02:47:00Z,replacement,follow_up_required,279,5.25,687.87,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0019,EVT-2026S1-0214,EQ-PRESS-354,2026-01-21T08:21:00Z,2026-01-21T13:30:00Z,preventive,monitoring,309,8.11,134.16,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0020,EVT-2026S1-0193,EQ-OVEN-123,2026-01-23T14:34:00Z,2026-01-23T15:37:00Z,calibration,no_fault_found,63,2.67,32.05,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0021,EVT-2026S1-0387,EQ-PRESS-157,2026-02-02T12:55:00Z,2026-02-02T18:10:00Z,replacement,follow_up_required,315,7.29,231.85,1,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0022,EVT-2026S1-0246,EQ-OVEN-106,2026-01-12T06:25:00Z,2026-01-12T10:17:00Z,calibration,resolved,232,5.72,742.95,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0023,EVT-2026S1-0350,EQ-PUMP-350,2026-06-07T13:40:00Z,2026-06-07T17:15:00Z,replacement,no_fault_found,215,4.44,200.59,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0024,EVT-2026S1-X004,EQ-OVEN-123,2026-03-04T01:34:00Z,2026-03-04T03:16:00Z,preventive,monitoring,102,5.03,218.64,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0025,EVT-2026S1-0401,EQ-MOTOR-311,2026-04-08T10:58:00Z,2026-04-08T14:37:00Z,preventive,monitoring,219,4.9,231.15,2,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0026,EVT-2026S1-0247,EQ-PRESS-117,2026-04-05T18:41:00Z,2026-04-05T23:15:00Z,replacement,no_fault_found,274,7.83,199.02,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0027,EVT-2026S1-0182,EQ-CONV-302,2026-01-17T03:26:00Z,2026-01-17T06:22:00Z,preventive,monitoring,176,4.03,48.35,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0028,EVT-2026S1-0193,EQ-OVEN-123,2026-01-23T16:59:00Z,2026-01-23T18:13:00Z,inspection,resolved,74,1.56,18.71,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0029,EVT-2026S1-0474,EQ-PUMP-214,2026-05-18T18:06:00Z,2026-05-18T21:41:00Z,preventive,parts_ordered,215,5.03,100.72,1,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0030,EVT-2026S1-0086,EQ-OVEN-146,2026-06-14T23:56:00Z,2026-06-15T02:20:00Z,calibration,parts_ordered,144,3.93,47.15,0,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0031,EVT-2026S1-0013,EQ-CHILL-001,2026-01-02T15:05:00Z,2026-01-02T18:33:00Z,preventive,monitoring,208,4.98,164.87,1,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0032,EVT-2026S1-0073,EQ-OVEN-303,2026-05-21T12:06:00Z,2026-05-21T12:38:00Z,inspection,follow_up_required,32,0.46,202.67,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0033,EVT-2026S1-0038,EQ-COMP-001,2026-05-24T10:46:00Z,2026-05-24T11:35:00Z,preventive,no_fault_found,49,1.61,19.38,0,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0034,EVT-2026S1-0079,EQ-COMP-369,2026-04-23T10:23:00Z,2026-04-23T13:38:00Z,inspection,monitoring,195,4.45,486.23,2,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0035,EVT-2026S1-0322,EQ-CONV-342,2026-01-16T16:08:00Z,2026-01-16T18:16:00Z,inspection,no_fault_found,128,1.75,406.24,3,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0036,EVT-2026S1-0282,EQ-CONV-202,2026-03-23T11:25:00Z,2026-03-23T12:57:00Z,inspection,no_fault_found,92,1.24,14.87,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0037,EVT-2026S1-0377,EQ-PUMP-347,2026-05-14T12:31:00Z,,preventive,monitoring,157,3.75,44.95,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0038,EVT-2026S1-0206,EQ-OVEN-266,2026-05-08T20:25:00Z,2026-05-08T23:53:00Z,calibration,monitoring,208,5.57,472.86,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0039,EVT-2026S1-0224,EQ-FAN-164,2026-04-01T12:52:00Z,2026-04-01T17:34:00Z,replacement,no_fault_found,282,6.22,529.22,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0040,EVT-2026S1-0206,EQ-OVEN-266,2026-05-08T20:06:00Z,2026-05-08T22:40:00Z,inspection,monitoring,154,3.17,97.55,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0042,EVT-2026S1-0297,EQ-PUMP-367,2026-06-07T09:22:00Z,2026-06-07T12:58:00Z,preventive,no_fault_found,216,5.46,271.73,1,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0043,EVT-2026S1-X004,EQ-OVEN-123,2026-03-04T02:47:00Z,2026-03-04T05:37:00Z,corrective,no_fault_found,170,4.92,357.54,2,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0044,EVT-2026S1-0090,EQ-PUMP-190,2026-01-16T14:25:00Z,2026-01-16T17:32:00Z,inspection,no_fault_found,187,4.52,54.23,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0045,EVT-2026S1-0414,EQ-GEAR-154,2026-05-07T03:35:00Z,2026-05-07T06:22:00Z,calibration,no_fault_found,167,3.65,143.79,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0046,EVT-2026S1-X046,EQ-FAN-260,2026-05-27T16:26:00Z,2026-05-27T19:15:00Z,replacement,monitoring,169,3.39,40.65,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0047,EVT-2026S1-0418,EQ-PACK-198,2026-02-05T01:25:00Z,2026-02-05T03:19:00Z,inspection,resolved,114,3.89,46.69,0,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0048,EVT-2026S1-0339,EQ-COMP-229,2026-06-07T00:13:00Z,2026-06-07T03:13:00Z,calibration,follow_up_required,180,4.51,189.2,2,Pièce remplacée puis remise en service progressive.,2026-S1
