equipment_id,timestamp,sensor_name,value,unit,period
EQ-STEAM-341,2026-01-01T23:41:00Z,pressure_bar,5.97,bar,2026-S1
EQ-CHILL-001,2026-01-02T00:00:00Z,temperature_c,56.39,°C,2026-S1
EQ-CHILL-168,2026-01-02T00:00:00Z,temperature_c,276.59,°C,2026-S1
EQ-CHILL-248,2026-01-02T00:00:00Z,temperature_c,52.61,°C,2026-S1
EQ-FAN-003,2026-01-02T00:00:00Z,vibration_mm_s,2.69,mm/s,2026-S1
EQ-FAN-284,2026-01-02T00:00:00Z,rpm,1691.38,rpm,2026-S1
EQ-MIX-159,2026-01-02T00:00:00Z,current_a,19.93,A,2026-S1
EQ-PUMP-001,2026-01-02T00:00:00Z,TEMPERATURE_C ,59.56,°C,2026-S1
EQ-PUMP-006,2026-01-02T00:00:00Z,vibration_mm_s,2.80,mm/s,2026-S1
EQ-STEAM-341,2026-01-02T05:23:00Z,pressure_bar,6.02,bar,2026-S1
EQ-CHILL-001,2026-01-02T06:00:00Z,temperature_c,66.35,°C,2026-S1
EQ-CHILL-168,2026-01-02T06:00:00Z,temperature_c,260.71,°C,2026-S1
EQ-CHILL-248,2026-01-02T06:00:00Z,temperature_c,49.21,°C,2026-S1
EQ-FAN-003,2026-01-02T06:00:00Z,vibration_mm_s,2.56,mm/s,2026-S1
EQ-FAN-284,2026-01-02T06:00:00Z,rpm,1635.06,rpm,2026-S1
EQ-MIX-159,2026-01-02T06:00:00Z,current_a,23.77,A,2026-S1
EQ-PUMP-001,2026-01-02T06:00:00Z,TEMPERATURE_C ,62.69,°C,2026-S1
EQ-PUMP-006,2026-01-02T06:00:00Z,vibration_mm_s,2.54,mm/s,2026-S1
EQ-CHILL-001,2026-01-02T12:00:00Z,temperature_c,64.85,°C,2026-S1
EQ-CHILL-168,2026-01-02T12:00:00Z,temperature_c,296.46,°C,2026-S1
EQ-CHILL-248,2026-01-02T12:00:00Z,temperature_c,54.67,°C,2026-S1
EQ-FAN-003,2026-01-02T12:00:00Z,vibration_mm_s,3.05,mm/s,2026-S1
EQ-FAN-284,2026-01-02T12:00:00Z,rpm,1603.08,rpm,2026-S1
EQ-MIX-159,2026-01-02T12:00:00Z,current_a,26.09,A,2026-S1
EQ-PUMP-001,2026-01-02T12:00:00Z,TEMPERATURE_C ,53.76,°C,2026-S1
EQ-PUMP-006,2026-01-02T12:00:00Z,vibration_mm_s,3.37,mm/s,2026-S1
EQ-STEAM-341,2026-01-02T12:41:00Z,pressure_bar,6.25,bar,2026-S1
EQ-STEAM-341,2026-01-02T17:23:00Z,pressure_bar,5.78,bar,2026-S1
EQ-CHILL-001,2026-01-02T18:00:00Z,temperature_c,57.22,°C,2026-S1
EQ-CHILL-168,2026-01-02T18:00:00Z,temperature_c,244.48,°C,2026-S1
EQ-CHILL-248,2026-01-02T18:00:00Z,temperature_c,56.88,°C,2026-S1
EQ-FAN-003,2026-01-02T18:00:00Z,vibration_mm_s,2.58,mm/s,2026-S1
EQ-FAN-284,2026-01-02T18:00:00Z,rpm,1644.76,rpm,2026-S1
EQ-MIX-159,2026-01-02T18:00:00Z,current_a,25.23,A,2026-S1
EQ-PUMP-001,2026-01-02T18:00:00Z,TEMPERATURE_C ,55.21,°C,2026-S1
EQ-PUMP-006,2026-01-02T18:00:00Z,vibration_mm_s,3.22,mm/s,2026-S1
EQ-CHILL-001,2026-01-03T00:00:00Z,temperature_c,53.95,°C,2026-S1
EQ-CHILL-168,2026-01-03T00:00:00Z,temperature_c,270.68,°C,2026-S1
EQ-CHILL-248,2026-01-03T00:00:00Z,temperature_c,48.68,°C,2026-S1
EQ-FAN-003,2026-01-03T00:00:00Z,vibration_mm_s,2.66,mm/s,2026-S1
EQ-FAN-284,2026-01-03T00:00:00Z,rpm,1680.23,rpm,2026-S1
EQ-MIX-159,2026-01-03T00:00:00Z,current_a,22.74,A,2026-S1
EQ-PUMP-001,2026-01-03T00:00:00Z,TEMPERATURE_C ,61.70,°C,2026-S1
EQ-PUMP-006,2026-01-03T00:00:00Z,vibration_mm_s,3.59,mm/s,2026-S1
EQ-STEAM-341,2026-01-03T00:23:00Z,pressure_bar,5.57,bar,2026-S1
EQ-STEAM-341,2026-01-03T05:23:00Z,pressure_bar,5.89,bar,2026-S1
EQ-CHILL-001,2026-01-03T06:00:00Z,temperature_c,61.00,°C,2026-S1
EQ-CHILL-168,2026-01-03T06:00:00Z,temperature_c,271.65,°C,2026-S1
EQ-CHILL-248,2026-01-03T06:00:00Z,temperature_c,49.69,°C,2026-S1
EQ-FAN-003,2026-01-03T06:00:00Z,vibration_mm_s,2.81,mm/s,2026-S1
EQ-FAN-284,2026-01-03T06:00:00Z,rpm,1633.28,rpm,2026-S1
EQ-MIX-159,2026-01-03T06:00:00Z,current_a,22.03,A,2026-S1
EQ-PUMP-001,2026-01-03T06:00:00Z,TEMPERATURE_C ,61.54,°C,2026-S1
EQ-PUMP-006,2026-01-03T06:00:00Z,vibration_mm_s,3.74,mm/s,2026-S1
EQ-CHILL-001,2026-01-03T12:00:00Z,temperature_c,60.06,°C,2026-S1
EQ-CHILL-168,2026-01-03T12:00:00Z,temperature_c,261.16,°C,2026-S1
EQ-CHILL-248,2026-01-03T12:00:00Z,temperature_c,50.73,°C,2026-S1
EQ-FAN-003,2026-01-03T12:00:00Z,vibration_mm_s,3.00,mm/s,2026-S1
EQ-FAN-284,2026-01-03T12:00:00Z,rpm,1618.86,rpm,2026-S1
EQ-MIX-159,2026-01-03T12:00:00Z,current_a,27.40,A,2026-S1
EQ-PUMP-001,2026-01-03T12:00:00Z,TEMPERATURE_C ,56.10,°C,2026-S1
EQ-PUMP-006,2026-01-03T12:00:00Z,vibration_mm_s,3.22,mm/s,2026-S1
EQ-STEAM-341,2026-01-03T12:11:00Z,pressure_bar,6.39,bar,2026-S1
EQ-CHILL-001,2026-01-03T18:00:00Z,temperature_c,50.60,°C,2026-S1
EQ-CHILL-168,2026-01-03T18:00:00Z,temperature_c,213.03,°C,2026-S1
EQ-CHILL-248,2026-01-03T18:00:00Z,temperature_c,58.96,°C,2026-S1
EQ-FAN-003,2026-01-03T18:00:00Z,vibration_mm_s,2.74,mm/s,2026-S1
EQ-FAN-284,2026-01-03T18:00:00Z,rpm,1660.86,rpm,2026-S1
EQ-MIX-159,2026-01-03T18:00:00Z,current_a,25.92,A,2026-S1
EQ-PUMP-001,2026-01-03T18:00:00Z,TEMPERATURE_C ,55.56,°C,2026-S1
EQ-PUMP-006,2026-01-03T18:00:00Z,vibration_mm_s,3.11,mm/s,2026-S1
EQ-STEAM-341,2026-01-03T18:11:00Z,pressure_bar,5.72,bar,2026-S1
EQ-STEAM-341,2026-01-03T23:41:00Z,pressure_bar,5.74,bar,2026-S1
EQ-CHILL-001,2026-01-04T00:00:00Z,temperature_c,52.24,°C,2026-S1
EQ-CHILL-168,2026-01-04T00:00:00Z,temperature_c,321.51,°C,2026-S1
EQ-CHILL-248,2026-01-04T00:00:00Z,temperature_c,49.67,°C,2026-S1
EQ-FAN-003,2026-01-04T00:00:00Z,vibration_mm_s,2.05,mm/s,2026-S1
EQ-FAN-284,2026-01-04T00:00:00Z,rpm,1668.74,rpm,2026-S1
EQ-MIX-159,2026-01-04T00:00:00Z,current_a,24.34,A,2026-S1
EQ-PUMP-001,2026-01-04T00:00:00Z,TEMPERATURE_C ,58.94,°C,2026-S1
EQ-PUMP-006,2026-01-04T00:00:00Z,vibration_mm_s,3.11,mm/s,2026-S1
EQ-CHILL-001,2026-01-04T06:00:00Z,temperature_c,58.33,°C,2026-S1
EQ-CHILL-168,2026-01-04T06:00:00Z,temperature_c,279.78,°C,2026-S1
EQ-CHILL-248,2026-01-04T06:00:00Z,temperature_c,46.20,°C,2026-S1
EQ-FAN-003,2026-01-04T06:00:00Z,vibration_mm_s,2.85,mm/s,2026-S1
EQ-FAN-284,2026-01-04T06:00:00Z,rpm,1650.23,rpm,2026-S1
EQ-MIX-159,2026-01-04T06:00:00Z,current_a,25.66,A,2026-S1
EQ-PUMP-001,2026-01-04T06:00:00Z,TEMPERATURE_C ,60.18,°C,2026-S1
EQ-PUMP-006,2026-01-04T06:00:00Z,vibration_mm_s,3.08,mm/s,2026-S1
EQ-STEAM-341,2026-01-04T06:23:00Z,pressure_bar,5.49,bar,2026-S1
EQ-CHILL-001,2026-01-04T12:00:00Z,temperature_c,58.95,°C,2026-S1
EQ-CHILL-168,2026-01-04T12:00:00Z,temperature_c,312.34,°C,2026-S1
EQ-CHILL-248,2026-01-04T12:00:00Z,temperature_c,51.45,°C,2026-S1
EQ-FAN-003,2026-01-04T12:00:00Z,vibration_mm_s,2.93,mm/s,2026-S1
EQ-FAN-284,2026-01-04T12:00:00Z,rpm,1605.08,rpm,2026-S1
EQ-MIX-159,2026-01-04T12:00:00Z,current_a,29.77,A,2026-S1
EQ-PUMP-001,2026-01-04T12:00:00Z,TEMPERATURE_C ,52.82,°C,2026-S1
EQ-PUMP-006,2026-01-04T12:00:00Z,vibration_mm_s,3.09,mm/s,2026-S1
EQ-STEAM-341,2026-01-04T12:11:00Z,pressure_bar,6.38,bar,2026-S1
EQ-STEAM-341,2026-01-04T17:07:00Z,pressure_bar,5.93,bar,2026-S1
EQ-CHILL-001,2026-01-04T18:00:00Z,temperature_c,48.66,°C,2026-S1
EQ-CHILL-168,2026-01-04T18:00:00Z,temperature_c,200.62,°C,2026-S1
EQ-CHILL-248,2026-01-04T18:00:00Z,temperature_c,55.20,°C,2026-S1
EQ-FAN-003,2026-01-04T18:00:00Z,vibration_mm_s,2.69,mm/s,2026-S1
EQ-FAN-284,2026-01-04T18:00:00Z,rpm,1650.66,rpm,2026-S1
EQ-MIX-159,2026-01-04T18:00:00Z,current_a,27.30,A,2026-S1
EQ-PUMP-001,2026-01-04T18:00:00Z,TEMPERATURE_C ,52.86,°C,2026-S1
EQ-PUMP-006,2026-01-04T18:00:00Z,vibration_mm_s,2.69,mm/s,2026-S1
EQ-CHILL-001,2026-01-05T00:00:00Z,temperature_c,53.26,°C,2026-S1
EQ-CHILL-168,2026-01-05T00:00:00Z,temperature_c,228.79,°C,2026-S1
EQ-CHILL-248,2026-01-05T00:00:00Z,temperature_c,51.00,°C,2026-S1
EQ-FAN-003,2026-01-05T00:00:00Z,vibration_mm_s,2.84,mm/s,2026-S1
EQ-FAN-284,2026-01-05T00:00:00Z,rpm,1692.37,rpm,2026-S1
EQ-MIX-159,2026-01-05T00:00:00Z,current_a,25.39,A,2026-S1
EQ-PUMP-001,2026-01-05T00:00:00Z,TEMPERATURE_C ,59.38,°C,2026-S1
EQ-PUMP-006,2026-01-05T00:00:00Z,vibration_mm_s,3.21,mm/s,2026-S1
EQ-STEAM-341,2026-01-05T00:41:00Z,pressure_bar,5.77,bar,2026-S1
EQ-CHILL-001,2026-01-05T06:00:00Z,temperature_c,62.55,°C,2026-S1
EQ-CHILL-168,2026-01-05T06:00:00Z,temperature_c,223.53,°C,2026-S1
EQ-CHILL-248,2026-01-05T06:00:00Z,temperature_c,48.89,°C,2026-S1
EQ-FAN-003,2026-01-05T06:00:00Z,vibration_mm_s,2.59,mm/s,2026-S1
EQ-FAN-284,2026-01-05T06:00:00Z,rpm,1654.68,rpm,2026-S1
EQ-MIX-159,2026-01-05T06:00:00Z,current_a,25.26,A,2026-S1
EQ-PUMP-001,2026-01-05T06:00:00Z,TEMPERATURE_C ,62.74,°C,2026-S1
EQ-PUMP-006,2026-01-05T06:00:00Z,vibration_mm_s,3.24,mm/s,2026-S1
EQ-STEAM-341,2026-01-05T06:41:00Z,pressure_bar,5.77,bar,2026-S1
EQ-CHILL-001,2026-01-05T12:00:00Z,temperature_c,61.39,°C,2026-S1
EQ-CHILL-168,2026-01-05T12:00:00Z,temperature_c,281.62,°C,2026-S1
EQ-CHILL-248,2026-01-05T12:00:00Z,temperature_c,54.22,°C,2026-S1
EQ-FAN-003,2026-01-05T12:00:00Z,vibration_mm_s,2.89,mm/s,2026-S1
EQ-FAN-284,2026-01-05T12:00:00Z,rpm,1597.22,rpm,2026-S1
EQ-MIX-159,2026-01-05T12:00:00Z,current_a,29.22,A,2026-S1
EQ-PUMP-001,2026-01-05T12:00:00Z,TEMPERATURE_C ,55.62,°C,2026-S1
EQ-PUMP-006,2026-01-05T12:00:00Z,vibration_mm_s,3.17,mm/s,2026-S1
EQ-STEAM-341,2026-01-05T12:23:00Z,pressure_bar,6.42,bar,2026-S1
EQ-STEAM-341,2026-01-05T17:23:00Z,pressure_bar,6.18,bar,2026-S1
EQ-CHILL-001,2026-01-05T18:00:00Z,temperature_c,53.76,°C,2026-S1
EQ-CHILL-168,2026-01-05T18:00:00Z,temperature_c,250.49,°C,2026-S1
EQ-CHILL-248,2026-01-05T18:00:00Z,temperature_c,57.97,°C,2026-S1
EQ-FAN-003,2026-01-05T18:00:00Z,vibration_mm_s,2.78,mm/s,2026-S1
EQ-FAN-284,2026-01-05T18:00:00Z,rpm,1655.85,rpm,2026-S1
EQ-MIX-159,2026-01-05T18:00:00Z,current_a,28.51,A,2026-S1
EQ-PUMP-001,2026-01-05T18:00:00Z,TEMPERATURE_C ,54.24,°C,2026-S1
EQ-PUMP-006,2026-01-05T18:00:00Z,vibration_mm_s,3.55,mm/s,2026-S1
EQ-CHILL-001,2026-01-06T00:00:00Z,temperature_c,52.29,°C,2026-S1
EQ-CHILL-168,2026-01-06T00:00:00Z,temperature_c,221.26,°C,2026-S1
EQ-CHILL-248,2026-01-06T00:00:00Z,temperature_c,54.95,°C,2026-S1
EQ-FAN-003,2026-01-06T00:00:00Z,vibration_mm_s,2.56,mm/s,2026-S1
EQ-FAN-284,2026-01-06T00:00:00Z,rpm,1690.64,rpm,2026-S1
EQ-MIX-159,2026-01-06T00:00:00Z,current_a,25.41,A,2026-S1
EQ-PUMP-001,2026-01-06T00:00:00Z,TEMPERATURE_C ,59.14,°C,2026-S1
EQ-PUMP-006,2026-01-06T00:00:00Z,vibration_mm_s,2.85,mm/s,2026-S1
EQ-STEAM-341,2026-01-06T00:41:00Z,pressure_bar,5.93,bar,2026-S1
EQ-STEAM-341,2026-01-06T05:23:00Z,pressure_bar,5.95,bar,2026-S1
EQ-CHILL-001,2026-01-06T06:00:00Z,temperature_c,59.95,°C,2026-S1
EQ-CHILL-168,2026-01-06T06:00:00Z,temperature_c,254.60,°C,2026-S1
EQ-CHILL-248,2026-01-06T06:00:00Z,temperature_c,48.52,°C,2026-S1
EQ-FAN-003,2026-01-06T06:00:00Z,vibration_mm_s,3.17,mm/s,2026-S1
EQ-FAN-284,2026-01-06T06:00:00Z,rpm,1685.08,rpm,2026-S1
EQ-MIX-159,2026-01-06T06:00:00Z,current_a,28.35,A,2026-S1
EQ-PUMP-001,2026-01-06T06:00:00Z,TEMPERATURE_C ,62.97,°C,2026-S1
EQ-PUMP-006,2026-01-06T06:00:00Z,vibration_mm_s,3.90,mm/s,2026-S1
EQ-CHILL-001,2026-01-06T12:00:00Z,temperature_c,58.32,°C,2026-S1
EQ-CHILL-168,2026-01-06T12:00:00Z,temperature_c,240.65,°C,2026-S1
EQ-CHILL-248,2026-01-06T12:00:00Z,temperature_c,53.52,°C,2026-S1
EQ-FAN-003,2026-01-06T12:00:00Z,vibration_mm_s,3.23,mm/s,2026-S1
EQ-FAN-284,2026-01-06T12:00:00Z,rpm,1570.87,rpm,2026-S1
EQ-MIX-159,2026-01-06T12:00:00Z,current_a,28.06,A,2026-S1
EQ-PUMP-001,2026-01-06T12:00:00Z,TEMPERATURE_C ,56.74,°C,2026-S1
EQ-PUMP-006,2026-01-06T12:00:00Z,vibration_mm_s,2.54,mm/s,2026-S1
EQ-STEAM-341,2026-01-06T12:41:00Z,pressure_bar,6.58,bar,2026-S1
EQ-CHILL-001,2026-01-06T18:00:00Z,temperature_c,54.89,°C,2026-S1
EQ-CHILL-168,2026-01-06T18:00:00Z,temperature_c,210.02,°C,2026-S1
EQ-CHILL-248,2026-01-06T18:00:00Z,temperature_c,56.84,°C,2026-S1
EQ-FAN-003,2026-01-06T18:00:00Z,vibration_mm_s,2.72,mm/s,2026-S1
EQ-FAN-284,2026-01-06T18:00:00Z,rpm,1614.64,rpm,2026-S1
EQ-MIX-159,2026-01-06T18:00:00Z,current_a,27.55,A,2026-S1
EQ-PUMP-001,2026-01-06T18:00:00Z,TEMPERATURE_C ,55.75,°C,2026-S1
EQ-PUMP-006,2026-01-06T18:00:00Z,vibration_mm_s,3.00,mm/s,2026-S1
EQ-STEAM-341,2026-01-06T18:23:00Z,pressure_bar,5.95,bar,2026-S1
EQ-STEAM-341,2026-01-06T23:41:00Z,pressure_bar,5.89,bar,2026-S1
EQ-CHILL-001,2026-01-07T00:00:00Z,temperature_c,54.63,°C,2026-S1
EQ-CHILL-168,2026-01-07T00:00:00Z,temperature_c,202.42,°C,2026-S1
EQ-CHILL-248,2026-01-07T00:00:00Z,temperature_c,52.58,°C,2026-S1
EQ-FAN-003,2026-01-07T00:00:00Z,vibration_mm_s,2.75,mm/s,2026-S1
EQ-FAN-284,2026-01-07T00:00:00Z,rpm,1690.20,rpm,2026-S1
EQ-MIX-159,2026-01-07T00:00:00Z,current_a,23.50,A,2026-S1
EQ-PUMP-001,2026-01-07T00:00:00Z,TEMPERATURE_C ,61.26,°C,2026-S1
EQ-PUMP-006,2026-01-07T00:00:00Z,vibration_mm_s,2.84,mm/s,2026-S1
EQ-CHILL-001,2026-01-07T06:00:00Z,temperature_c,58.26,°C,2026-S1
EQ-CHILL-168,2026-01-07T06:00:00Z,temperature_c,236.04,°C,2026-S1
EQ-CHILL-248,2026-01-07T06:00:00Z,temperature_c,49.13,°C,2026-S1
EQ-FAN-003,2026-01-07T06:00:00Z,vibration_mm_s,2.89,mm/s,2026-S1
EQ-FAN-284,2026-01-07T06:00:00Z,rpm,1590.43,rpm,2026-S1
EQ-MIX-159,2026-01-07T06:00:00Z,current_a,21.23,A,2026-S1
EQ-PUMP-001,2026-01-07T06:00:00Z,TEMPERATURE_C ,64.02,°C,2026-S1
EQ-PUMP-006,2026-01-07T06:00:00Z,vibration_mm_s,2.61,mm/s,2026-S1
EQ-STEAM-341,2026-01-07T06:11:00Z,pressure_bar,6.28,bar,2026-S1
EQ-STEAM-341,2026-01-07T11:07:00Z,pressure_bar,6.42,bar,2026-S1
EQ-CHILL-001,2026-01-07T12:00:00Z,temperature_c,58.18,°C,2026-S1
EQ-CHILL-168,2026-01-07T12:00:00Z,temperature_c,204.54,°C,2026-S1
EQ-CHILL-248,2026-01-07T12:00:00Z,temperature_c,53.67,°C,2026-S1
EQ-FAN-003,2026-01-07T12:00:00Z,vibration_mm_s,2.95,mm/s,2026-S1
EQ-FAN-284,2026-01-07T12:00:00Z,rpm,1597.11,rpm,2026-S1
EQ-MIX-159,2026-01-07T12:00:00Z,current_a,24.46,A,2026-S1
EQ-PUMP-001,2026-01-07T12:00:00Z,TEMPERATURE_C ,57.65,°C,2026-S1
EQ-PUMP-006,2026-01-07T12:00:00Z,vibration_mm_s,3.34,mm/s,2026-S1
EQ-CHILL-001,2026-01-07T18:00:00Z,temperature_c,54.90,°C,2026-S1
EQ-CHILL-168,2026-01-07T18:00:00Z,temperature_c,224.69,°C,2026-S1
EQ-CHILL-248,2026-01-07T18:00:00Z,temperature_c,57.87,°C,2026-S1
EQ-FAN-003,2026-01-07T18:00:00Z,vibration_mm_s,3.25,mm/s,2026-S1
EQ-FAN-284,2026-01-07T18:00:00Z,rpm,1678.30,rpm,2026-S1
EQ-MIX-159,2026-01-07T18:00:00Z,current_a,24.90,A,2026-S1
EQ-PUMP-001,2026-01-07T18:00:00Z,TEMPERATURE_C ,54.99,°C,2026-S1
EQ-PUMP-006,2026-01-07T18:00:00Z,vibration_mm_s,3.29,mm/s,2026-S1
EQ-STEAM-341,2026-01-07T18:41:00Z,pressure_bar,5.92,bar,2026-S1
EQ-STEAM-341,2026-01-07T23:23:00Z,pressure_bar,5.72,bar,2026-S1
EQ-CHILL-001,2026-01-08T00:00:00Z,temperature_c,52.78,°C,2026-S1
EQ-CHILL-168,2026-01-08T00:00:00Z,temperature_c,280.05,°C,2026-S1
EQ-CHILL-248,2026-01-08T00:00:00Z,temperature_c,51.85,°C,2026-S1
EQ-FAN-003,2026-01-08T00:00:00Z,vibration_mm_s,2.52,mm/s,2026-S1
EQ-FAN-284,2026-01-08T00:00:00Z,rpm,1664.18,rpm,2026-S1
EQ-MIX-159,2026-01-08T00:00:00Z,current_a,23.63,A,2026-S1
EQ-PUMP-001,2026-01-08T00:00:00Z,TEMPERATURE_C ,58.51,°C,2026-S1
EQ-PUMP-006,2026-01-08T00:00:00Z,vibration_mm_s,2.96,mm/s,2026-S1
EQ-CHILL-001,2026-01-08T06:00:00Z,temperature_c,59.03,°C,2026-S1
EQ-CHILL-168,2026-01-08T06:00:00Z,temperature_c,264.45,°C,2026-S1
EQ-CHILL-248,2026-01-08T06:00:00Z,temperature_c,46.93,°C,2026-S1
EQ-FAN-003,2026-01-08T06:00:00Z,vibration_mm_s,2.74,mm/s,2026-S1
